# time=0
x,y,u,v,p,magnitude
0.02232422,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02232422,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02244141,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02255859,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02267578,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02279297,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02291016,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02302734,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02314453,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00117187,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00126563,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00135938,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00145312,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00154688,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00164062,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00173438,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00182813,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00192187,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00201563,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00210938,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00220313,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00229687,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00239062,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00248438,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00257813,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00267188,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00276562,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00285937,0.00000000,0.00000000,0.00000000,0.00000000
0.02326172,0.00295313,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00004688,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00014063,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00023437,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00032813,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00042187,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00051563,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00060937,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00070312,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00079688,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00089063,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00098438,0.00000000,0.00000000,0.00000000,0.00000000
0.02337891,0.00107813,0.00000000,0.00000000,0.00000000,0.00000000
